MTU (CET/CEST),Day-ahead Price [EUR/MWh]
01.01.2023 00:00 - 01.01.2023 01:00,0
01.01.2023 01:00 - 01.01.2023 02:00,-0.1
01.01.2023 02:00 - 01.01.2023 03:00,-1.33
01.01.2023 03:00 - 01.01.2023 04:00,-4.08
01.01.2023 04:00 - 01.01.2023 05:00,-4.16
01.01.2023 05:00 - 01.01.2023 06:00,-3.58
01.01.2023 06:00 - 01.01.2023 07:00,-4.37
01.01.2023 07:00 - 01.01.2023 08:00,-0.12
01.01.2023 08:00 - 01.01.2023 09:00,-0.06
01.01.2023 09:00 - 01.01.2023 10:00,0
01.01.2023 10:00 - 01.01.2023 11:00,0
01.01.2023 11:00 - 01.01.2023 12:00,0
01.01.2023 12:00 - 01.01.2023 13:00,0
01.01.2023 13:00 - 01.01.2023 14:00,0.1
01.01.2023 14:00 - 01.01.2023 15:00,1.5
01.01.2023 15:00 - 01.01.2023 16:00,23.5
01.01.2023 16:00 - 01.01.2023 17:00,36.54
01.01.2023 17:00 - 01.01.2023 18:00,46.03
01.01.2023 18:00 - 01.01.2023 19:00,44.43
01.01.2023 19:00 - 01.01.2023 20:00,54.95
01.01.2023 20:00 - 01.01.2023 21:00,47.38
01.01.2023 21:00 - 01.01.2023 22:00,40.24
01.01.2023 22:00 - 01.01.2023 23:00,45.96
01.01.2023 23:00 - 02.01.2023 00:00,35
02.01.2023 00:00 - 02.01.2023 01:00,61.38
02.01.2023 01:00 - 02.01.2023 02:00,52.68
02.01.2023 02:00 - 02.01.2023 03:00,52.93
02.01.2023 03:00 - 02.01.2023 04:00,42.75
02.01.2023 04:00 - 02.01.2023 05:00,50.08
02.01.2023 05:00 - 02.01.2023 06:00,67.91
02.01.2023 06:00 - 02.01.2023 07:00,105.08
02.01.2023 07:00 - 02.01.2023 08:00,140.64
02.01.2023 08:00 - 02.01.2023 09:00,149.8
02.01.2023 09:00 - 02.01.2023 10:00,154.66
02.01.2023 10:00 - 02.01.2023 11:00,145.61
02.01.2023 11:00 - 02.01.2023 12:00,143.35
02.01.2023 12:00 - 02.01.2023 13:00,144.38
02.01.2023 13:00 - 02.01.2023 14:00,143.76
02.01.2023 14:00 - 02.01.2023 15:00,148.2
02.01.2023 15:00 - 02.01.2023 16:00,155.34
02.01.2023 16:00 - 02.01.2023 17:00,163.17
02.01.2023 17:00 - 02.01.2023 18:00,173.8
02.01.2023 18:00 - 02.01.2023 19:00,174.74
02.01.2023 19:00 - 02.01.2023 20:00,165.76
02.01.2023 20:00 - 02.01.2023 21:00,153
02.01.2023 21:00 - 02.01.2023 22:00,141.67
02.01.2023 22:00 - 02.01.2023 23:00,134.91
02.01.2023 23:00 - 03.01.2023 00:00,124.22
03.01.2023 00:00 - 03.01.2023 01:00,130.01
03.01.2023 01:00 - 03.01.2023 02:00,120
03.01.2023 02:00 - 03.01.2023 03:00,118.76
03.01.2023 03:00 - 03.01.2023 04:00,115
03.01.2023 04:00 - 03.01.2023 05:00,113.63
03.01.2023 05:00 - 03.01.2023 06:00,116.27
03.01.2023 06:00 - 03.01.2023 07:00,138.92
03.01.2023 07:00 - 03.01.2023 08:00,159.92
03.01.2023 08:00 - 03.01.2023 09:00,169.17
03.01.2023 09:00 - 03.01.2023 10:00,171.18
03.01.2023 10:00 - 03.01.2023 11:00,168.57
03.01.2023 11:00 - 03.01.2023 12:00,169.49
03.01.2023 12:00 - 03.01.2023 13:00,164.5
03.01.2023 13:00 - 03.01.2023 14:00,160.91
