;SoC;Charge;Discharge;Energy prices;Cash flow
0;0.0;0.0;0.0;0.08906;0.0
1;0.0;0.0;0.0;0.07848000000000001;0.0
2;0.0;0.0;0.0;0.08516;0.0
3;0.0;0.0;0.0;0.05;0.0
4;0.0;11.5;0.0;0.03767;-0.433205
5;10.925;2.71052631578947;0.0;0.039700000000000006;-0.10760789473684197
6;13.5;0.0;0.0;0.04059;0.0
7;13.5;0.0;0.0;0.04326;0.0
8;13.5;0.0;0.0;0.049659999999999996;0.0
9;13.5;0.0;0.0;0.07005;0.0
10;13.5;0.0;0.0;0.07679000000000001;0.0
11;13.5;0.0;0.0;0.0841;0.0
12;13.5;0.0;0.0;0.09473999999999999;0.0
13;13.5;0.0;0.0;0.0968;0.0
14;13.5;0.0;0.0;0.09717;0.0
15;13.5;0.0;0.0;0.09852;0.0
16;13.5;0.0;0.0;0.1145;0.0
17;13.5;0.0;11.5;0.14997;1.7246549999999998
18;1.39473684210526;0.0;1.325;0.14633000000000002;0.19388725
19;0.0;0.0;0.0;0.14028;0.0
20;0.0;0.0;0.0;0.12188;0.0
21;0.0;0.0;0.0;0.10260999999999999;0.0
22;0.0;0.0;0.0;0.09745999999999999;0.0
23;0.0;0.0;11.5;0.08516;0.97934
24;0.0;0.0;0.0;0.05708;0.0
25;0.0;0.0;0.0;0.052590000000000005;0.0
26;0.0;0.0;0.0;0.04897;0.0
27;0.0;0.0;0.0;0.03494;0.0
28;0.0;11.5;0.0;0.02956;-0.33994
29;10.925;2.71052631578947;0.0;0.03397;-0.09207657894736829
30;13.5;0.0;0.0;0.03452;0.0
31;13.5;0.0;0.0;0.0418;0.0
32;13.5;0.0;0.0;0.04895;0.0
33;13.5;0.0;0.0;0.06001;0.0
34;13.5;0.0;11.5;0.07009;0.806035
35;1.39473684210526;0.0;1.325;0.06626;0.0877945
36;0.0;0.0;0.0;0.06454;0.0
37;0.0;0.0;0.0;0.04696;0.0
38;0.0;2.71052631578947;0.0;0.04001;-0.10844815789473668
39;2.575;11.5;0.0;0.039299999999999995;-0.45194999999999996
40;13.5;0.0;0.0;0.04079;0.0
41;13.5;0.0;0.0;0.047909999999999994;0.0
42;13.5;0.0;1.325;0.06509000000000001;0.08624425000000001
43;12.1052631578947;0.0;11.5;0.06785;0.7802749999999999
44;0.0;0.0;0.0;0.06222;0.0
45;0.0;0.0;0.0;0.04616;0.0
46;0.0;0.0;0.0;0.04629;0.0
47;0.0;0.0;11.5;0.03293;0.378695
48;0.0;0.0;0.0;0.00271;0.0
49;0.0;0.0;0.0;0.00171;0.0
50;0.0;0.0;0.0;0.00124;0.0
51;0.0;11.5;0.0;5.9999999999999995e-05;-0.00069
52;10.925;2.71052631578947;0.0;8.999999999999999e-05;-0.00024394736842105227
53;13.5;0.0;0.0;0.0014399999999999999;0.0
54;13.5;0.0;0.0;0.04111;0.0
55;13.5;0.0;0.0;0.09054000000000001;0.0
56;13.5;0.0;1.325;0.16179;0.21437174999999997
57;12.1052631578947;0.0;11.5;0.18036000000000002;2.0741400000000003
58;0.0;0.0;0.0;0.12503;0.0
59;0.0;0.0;0.0;0.10074;0.0
60;0.0;2.71052631578947;0.0;0.09639;-0.261267631578947
61;2.575;11.5;0.0;0.09522;-1.09503
62;13.5;0.0;0.0;0.10267;0.0
63;13.5;0.0;0.0;0.11287;0.0
64;13.5;0.0;0.0;0.1268;0.0
65;13.5;0.0;0.0;0.14849;0.0
66;13.5;0.0;1.325;0.17506;0.23195449999999998
67;12.1052631578947;0.0;11.5;0.18;2.07
68;0.0;0.0;0.0;0.14643;0.0
69;0.0;0.0;0.0;0.10571;0.0
70;0.0;0.0;0.0;0.11411;0.0
71;0.0;0.0;11.5;0.10036;1.15414
72;0.0;0.0;0.0;0.12547;0.0
73;0.0;0.0;0.0;0.11555;0.0
74;0.0;0.0;0.0;0.11329;0.0
75;0.0;2.71052631578947;0.0;0.10581;-0.2868007894736838
76;2.575;11.5;0.0;0.105;-1.2075
77;13.5;0.0;0.0;0.11511;0.0
78;13.5;0.0;0.0;0.15691;0.0
79;13.5;0.0;0.0;0.18264;0.0
80;13.5;0.0;0.0;0.17890999999999999;0.0
81;13.5;0.0;11.5;0.19;2.185
82;1.39473684210526;0.0;1.325;0.18988;0.251591
83;0.0;0.0;0.0;0.18242;0.0
84;0.0;0.0;0.0;0.18246;0.0
85;0.0;0.0;0.0;0.17959;0.0
86;0.0;0.0;0.0;0.179;0.0
87;0.0;0.0;0.0;0.18093;0.0
88;0.0;11.5;0.0;0.16669;-1.916935
89;10.925;0.0;10.37875;0.18988;1.97071705
90;0.0;0.0;0.0;0.18494;0.0
91;0.0;0.0;0.0;0.17899;0.0
92;0.0;0.0;0.0;0.15612;0.0
93;0.0;0.0;0.0;0.14865;0.0
94;0.0;0.0;0.0;0.13792;0.0
95;0.0;0.0;11.5;0.105;1.2075
